Combined Levels,Target
auto.bicycle.dealership,N/A
auto.bicycle.maintenance,N/A
auto.bicycle.parts,N/A
auto.bicycle.public_repair,N/A
auto.bicycle.rental,N/A
auto.bicycle.sharing,N/A
auto.bicycle,N/A
auto.car.dealership,N/A
auto.car.lubrication,N/A
auto.car.maintenance,N/A
auto.car.parts,N/A
auto.car.rental,N/A
auto.car.tire,N/A
auto.car.used,N/A
auto.car.wash,N/A
auto.car,N/A
auto.commercial.dealership,N/A
auto.commercial.maintenance,N/A
auto.commercial.parts,N/A
auto.commercial.rental,N/A
auto.motorcycle.dealership,N/A
auto.motorcycle.maintenance,N/A
auto.motorcycle.parts,N/A
auto.motorcycle.rental,N/A
auto.motorcycle.used,N/A
auto.motorcycle,N/A
auto.service.driving_school,N/A
auto.service.inspection,N/A
auto.service,N/A
building.billboard,N/A
building.cell_tower,N/A
building.college.dormitory,Young adult
building.commercial.business_center,Adult
building.commercial.office,Adult
building.industrial_zone,Adult
building.office.accountant,Adult
building.office.architect,Adult
building.office.consultant,Adult
building.office.employment_agency,Adult
building.office.estate_agent,Adult
building.office.funeral_director,Adult
building.office.insurance,Adult
building.office.it,Adult
building.office.lawyer,Adult
building.office.ngo,Adult
building.office.tax_advisor,Adult
building.office.telecommunication,Adult
building.office,Adult
facility.community.ambulance,N/A
facility.community.center,N/A
facility.community.club,N/A
facility.community.library,N/A
facility.community.recycling,N/A
facility.community.restroom,N/A
facility.community.social_service,N/A
facility.community,N/A
facility.education.arts,N/A
facility.education.child_care,Mom
facility.education.coaching,N/A
facility.education.college,Young adult
facility.education.higher_education,Teens
facility.education.kindergarten,Mom
facility.education.language_study,N/A
facility.education.research,N/A
facility.education.school,Mom
facility.education.service,N/A
facility.education.training,N/A
facility.education.university,Young adult
facility.education.vocational,N/A
facility.education,N/A
facility.event.banquet_hall,N/A
facility.event.convention,N/A
facility.event,N/A
facility.government.border_crossing,N/A
facility.government.city_hall,Adult
facility.government.court_house,Adult
facility.government.embassy,Adult
facility.government.fire,Adult
facility.government.office,Adult
facility.government.police_station,Adult
facility.government.post_office,Adult
facility.government.prison,Adult
facility.government.public_administration,Adult
facility.government,Adult
food.nightlife.adult_entertainment,Alcohol
food.nightlife.arcade,Alcohol
food.nightlife.bar_pub,Alcohol
food.nightlife.billiards,Alcohol
food.nightlife.brewery,Alcohol
food.nightlife.cocktail,Alcohol
food.nightlife.karaoke,Alcohol
food.nightlife.live_entertainment,Alcohol
food.nightlife.nightclub,Alcohol
food.nightlife,Alcohol
food.restaurant.american,N/A
food.restaurant.asian,N/A
food.restaurant.bbq,N/A
food.restaurant.biergarten,N/A
food.restaurant.bistro,N/A
food.restaurant.breakfast,N/A
food.restaurant.cafe,N/A
food.restaurant.casual,N/A
food.restaurant.catering,N/A
food.restaurant.continental,N/A
food.restaurant.deli,N/A
food.restaurant.fast_food,N/A
food.restaurant.fine_dining,N/A
food.restaurant.food_court,N/A
food.restaurant.food_stall,N/A
food.restaurant.indian,N/A
food.restaurant.pizza_pasta,N/A
food.restaurant.seafood,N/A
food.restaurant.takeout,N/A
food.restaurant.taqueria,N/A
food.restaurant.tea,N/A
food.restaurant,N/A
health.clinic.alternative,N/A
health.clinic.dentist,N/A
health.clinic.health_centre,N/A
health.clinic.physician,N/A
health.clinic.skin,N/A
health.clinic.surgeon,N/A
health.clinic,N/A
health.covid.hospital,N/A
health.covid.vaccination_centre,N/A
health.hospital.college,N/A
health.hospital.emergency_room,N/A
health.hospital.general,N/A
health.hospital.medical_center,N/A
health.hospital.nursing_home,N/A
health.hospital.specialty,N/A
health.hospital,N/A
health.service.drugstore,N/A
health.service.equipment,N/A
health.service.optical,N/A
health.service.pharmacy,N/A
health.service,N/A
health.sports.badminton,N/A
health.sports.basketball,N/A
health.sports.bike_park,N/A
health.sports.cricket,N/A
health.sports.diving_center,N/A
health.sports.golf_practice,N/A
health.sports.hockey,N/A
health.sports.ice_rink,N/A
health.sports.indoor_ski,N/A
health.sports.indoor_sports,N/A
